Augustine,Dell,4,611,Mac,intel,1991
Ronnette,Acer,4,476,Windows,intel,1990
Jenelle,Samsung,32,10645,Mac,AMD,1988
Jenelle,Acer,32,2530,Windows,intel,1992
Aniya,Samsung,4,1906,Windows,intel,2015
Ronnette,Asus,64,8989,Windows,AMD,2013
Arline,Samsung,64,662,Windows,intel,2003
Isidora,Asus,4,6165,Windows,AMD,1982
Ronnette,Asus,64,7914,Mac,intel,1998
Florence,Lenovo,64,3676,Windows,AMD,1992
Augustine,Dell,16,10413,Windows,AMD,2016
Arline,HP,8,8433,Windows,AMD,1982
Frederick,Dell,32,7337,Windows,intel,1989
Stacey,Asus,64,4147,Mac,AMD,1986
Ronnette,Lenovo,16,3467,Windows,AMD,1992
Arline,Asus,16,4929,Mac,AMD,1985
Arline,Microsoft,64,4895,Mac,AMD,2012
Frederick,HP,32,8170,Mac,AMD,2001
Augustine,Acer,4,730,Windows,intel,1995
Isidora,Dell,64,6695,Mac,intel,2001
Stacey,Microsoft,64,11801,Windows,intel,1999
Ronnette,Apple,32,7927,Windows,AMD,1998
Jenelle,Dell,16,8005,Windows,AMD,1994
Isidora,Apple,64,4450,Mac,AMD,2010
Ronnette,Dell,4,4387,Windows,intel,2012
Arline,Microsoft,32,3863,Windows,intel,1982
Stacey,Lenovo,4,9600,Mac,intel,1987
Aniya,Samsung,64,10873,Windows,AMD,2017
Frederick,Acer,32,5807,Windows,intel,2016
Frederick,Asus,64,11800,Windows,AMD,2018
Augustine,Samsung,32,10377,Mac,intel,1991
Isidora,Asus,32,2426,Mac,intel,2019
Florence,Microsoft,32,3061,Windows,intel,1986
Frederick,HP,32,4057,Mac,AMD,2015
Arline,Microsoft,64,11581,Windows,intel,2011
Stacey,Microsoft,32,10015,Windows,AMD,1987
Stacey,Apple,16,5283,Windows,intel,2006
Arline,Dell,4,6807,Mac,AMD,1994
Florence,Samsung,8,11341,Mac,intel,1984
Frederick,Apple,16,9153,Mac,intel,2017
Aniya,Lenovo,4,2196,Windows,intel,2003
Florence,Acer,32,951,Windows,AMD,1984
Jenelle,Samsung,4,8513,Windows,AMD,2009
Stacey,Acer,4,10515,Mac,AMD,2004
Arline,HP,32,9887,Mac,intel,1988
Aniya,HP,64,5643,Windows,intel,2009
Isidora,Samsung,16,4094,Windows,AMD,1994
Isidora,Lenovo,4,3775,Mac,intel,2003
Ronnette,Dell,64,10117,Windows,AMD,1982
Frederick,Acer,32,1051,Windows,intel,2019
Augustine,Lenovo,8,8957,Mac,AMD,2008
Isidora,Dell,32,4862,Mac,intel,1998
Augustine,Dell,8,3882,Windows,intel,2000
Augustine,Acer,64,2356,Windows,intel,2015
Aniya,Lenovo,4,2140,Windows,intel,1999
Aniya,Microsoft,8,4191,Mac,AMD,2014
Ronnette,HP,64,1451,Windows,AMD,1996
Ronnette,Dell,32,7596,Mac,AMD,1992
Augustine,HP,32,1739,Mac,intel,1998
Florence,HP,64,5139,Windows,intel,1996
Ronnette,Lenovo,4,2790,Mac,AMD,1995
Frederick,Dell,64,6981,Mac,AMD,1987
Aniya,Acer,16,10562,Mac,AMD,1994
Isidora,Dell,32,7863,Mac,AMD,2003
Stacey,Samsung,8,8485,Mac,intel,2004
Stacey,Asus,16,8542,Mac,AMD,1992
Florence,Lenovo,8,813,Mac,intel,1998
Frederick,Asus,32,1178,Mac,AMD,2008
Isidora,HP,32,5528,Windows,AMD,2005
Arline,Microsoft,16,266,Mac,AMD,2002
Ronnette,Samsung,4,5639,Mac,AMD,2002
Florence,HP,64,4694,Windows,intel,1993
Aniya,Microsoft,8,9006,Mac,intel,2007
Isidora,Samsung,64,11562,Mac,AMD,1990
Arline,Microsoft,32,11743,Windows,AMD,1989
Jenelle,Lenovo,32,2702,Mac,intel,2014
Stacey,Microsoft,32,6521,Windows,intel,1987
Isidora,Asus,16,4684,Windows,intel,2008
Arline,Microsoft,8,11169,Mac,intel,1997
Florence,Asus,4,11161,Windows,intel,1999
Frederick,Lenovo,4,9533,Mac,AMD,1987
Isidora,Asus,4,226,Mac,intel,2019
Jenelle,Acer,32,10345,Windows,intel,2019
Arline,Asus,8,2541,Mac,intel,1990
Ronnette,Dell,64,3617,Windows,intel,1995
Florence,HP,8,592,Mac,AMD,1998
Arline,Microsoft,64,5520,Mac,AMD,2002
Isidora,Asus,32,8195,Windows,intel,1983
Jenelle,Asus,16,10169,Mac,AMD,1982
Stacey,Lenovo,4,2760,Windows,AMD,2006
Jenelle,HP,64,6265,Mac,AMD,2011
Ronnette,Acer,8,3379,Mac,AMD,2014
Ronnette,Microsoft,16,5274,Windows,intel,2018
Augustine,Asus,8,3106,Windows,AMD,1994
Augustine,Lenovo,16,2562,Windows,AMD,2008
Frederick,Lenovo,4,10883,Windows,intel,2005
Florence,Samsung,4,7628,Windows,intel,2001
Frederick,Acer,16,11714,Windows,AMD,1990
Ronnette,Apple,4,10754,Mac,intel,1981
Arline,Lenovo,8,3348,Mac,AMD,2005
Ronnette,Acer,4,11669,Windows,intel,2012
Aniya,HP,16,6073,Windows,AMD,2001
Florence,Acer,32,7385,Mac,intel,1998
Augustine,Asus,32,4790,Mac,intel,2019
Frederick,Samsung,8,11285,Mac,intel,1998
Ronnette,Samsung,32,1629,Mac,intel,1989
Aniya,HP,8,9292,Mac,intel,1983
Aniya,Microsoft,4,887,Mac,intel,1994
Ronnette,Apple,16,4099,Windows,AMD,1984
Ronnette,Acer,64,100,Mac,intel,1990
Frederick,Acer,8,3109,Windows,intel,2001
Frederick,Asus,16,3795,Mac,AMD,1981
Jenelle,Samsung,32,4373,Windows,AMD,2019
Stacey,Microsoft,8,288,Mac,intel,1984
Isidora,Apple,4,1000,Mac,intel,1998
Stacey,Samsung,8,3632,Mac,intel,2012
Isidora,Microsoft,64,234,Windows,AMD,1982
Jenelle,Acer,16,8874,Windows,AMD,1996
Ronnette,Asus,32,10266,Mac,intel,2016
Stacey,Dell,16,7898,Mac,AMD,1986
Frederick,HP,4,1669,Mac,AMD,1987
Arline,Acer,32,2588,Windows,intel,1998
Ronnette,Asus,64,8346,Mac,AMD,2017
Florence,Apple,16,10252,Mac,AMD,1989
Jenelle,Lenovo,16,9681,Windows,AMD,1995
Augustine,Dell,8,1376,Windows,intel,2017
Augustine,HP,64,10522,Mac,intel,1985
Jenelle,Acer,32,5016,Mac,AMD,2004
Frederick,Apple,32,2926,Mac,AMD,1984
Jenelle,HP,32,214,Mac,AMD,2018
Isidora,HP,64,6414,Mac,intel,1983
Aniya,Samsung,64,8867,Windows,intel,1998
Ronnette,Acer,32,1188,Windows,AMD,1999
Frederick,Dell,8,405,Windows,AMD,1998
Augustine,Asus,16,3543,Mac,AMD,1981
Frederick,Samsung,8,6751,Mac,intel,1987
Stacey,Dell,8,7775,Mac,AMD,1987
Stacey,Acer,8,5072,Mac,AMD,2011
Augustine,Acer,4,4948,Mac,intel,2002
Frederick,Samsung,32,4731,Mac,AMD,1982
Ronnette,Lenovo,32,10270,Mac,intel,1996
Aniya,Dell,8,11764,Mac,intel,1999
Frederick,Microsoft,4,11573,Mac,intel,1981
Augustine,Microsoft,16,3212,Windows,AMD,1985
Ronnette,Apple,8,8034,Mac,intel,1982
Ronnette,Microsoft,32,9004,Windows,intel,2007
Augustine,Asus,32,753,Windows,AMD,2014
Florence,Samsung,32,4056,Windows,intel,1995
Isidora,Lenovo,32,8543,Windows,AMD,1982
Ronnette,Apple,32,6550,Mac,intel,2017
Jenelle,Microsoft,16,4333,Windows,intel,1995
Frederick,Samsung,8,468,Windows,intel,1984
Frederick,Apple,16,6833,Mac,AMD,2000
Ronnette,Samsung,32,3804,Mac,intel,2002
Augustine,Acer,32,9454,Windows,intel,1981
Aniya,Acer,8,5204,Mac,AMD,2006
Jenelle,Acer,32,868,Mac,intel,1990
Frederick,Microsoft,8,1898,Mac,AMD,2001
Stacey,Acer,16,4117,Mac,intel,2010
Isidora,Microsoft,8,11766,Windows,intel,2000
Florence,HP,8,2919,Windows,intel,1993
Frederick,Asus,4,7237,Mac,intel,2011
Stacey,Dell,16,8889,Windows,intel,2007
Augustine,Acer,4,852,Windows,intel,2000
Isidora,Samsung,64,6581,Mac,intel,1993
Stacey,Apple,16,2524,Windows,intel,1999
Arline,Acer,32,7997,Mac,intel,1995
Arline,Acer,16,7182,Windows,intel,2011
Aniya,Microsoft,32,10753,Mac,AMD,2014
Frederick,HP,16,3055,Mac,AMD,2007
Aniya,Samsung,64,3742,Mac,AMD,2009
Isidora,Dell,64,11593,Mac,AMD,2015
Aniya,Lenovo,16,439,Mac,AMD,2014
Isidora,Microsoft,64,6287,Mac,intel,2013
Stacey,Lenovo,64,1146,Windows,intel,1997
Aniya,Acer,64,74,Windows,intel,1992
Arline,Acer,8,7747,Windows,intel,1998
Florence,HP,32,1920,Windows,AMD,1983
Frederick,HP,16,386,Mac,intel,2006
Ronnette,Microsoft,16,3375,Mac,intel,1981
Isidora,Asus,16,6713,Mac,AMD,1984
Isidora,Acer,16,10329,Mac,intel,2017
Isidora,Lenovo,8,7740,Mac,intel,2013
Florence,Samsung,4,9900,Windows,intel,2019
Jenelle,Samsung,32,11603,Windows,AMD,1992
Frederick,Samsung,16,9499,Windows,intel,1983
Aniya,Apple,32,1184,Windows,intel,1987
Florence,Samsung,16,2401,Windows,intel,2010
Stacey,HP,8,1190,Windows,AMD,1982
Frederick,Microsoft,32,4090,Mac,AMD,2006
Stacey,Dell,4,7746,Mac,intel,1995
Stacey,Apple,16,1688,Mac,intel,2016
Aniya,Dell,16,4087,Windows,AMD,2006
Ronnette,Microsoft,64,8695,Windows,AMD,2002
Arline,Lenovo,8,11427,Windows,AMD,2013
Jenelle,Lenovo,32,3042,Mac,intel,1988
Jenelle,Dell,8,8929,Mac,AMD,1996
Augustine,Asus,32,10495,Windows,intel,1987
Stacey,Asus,8,9505,Mac,AMD,1997
Florence,Samsung,32,4145,Windows,AMD,2006
